kode_standar;nama_standar;tipe;kelompok
1.1.7.01.08.03.003;Perikanan;SSH;1
1.1.7.01.08.03.004;Perternakan;SSH;1
1.1.7.01.08.03.005;Perkebunan Dan Kehutanan;SSH;1
1.1.7.01.08.03.006;Militer;SSH;1
1.1.7.01.08.03.007;Persediaan Penelitian Teknologi Lainnya;SSH;1
1.1.7.01.08.04.001;Persediaan Penelitian Lainnya;SSH;1
1.1.7.01.09.01.001;Tanah Dan Bangunan Dalam Proses;SSH;1
1.1.7.01.09.01.002;Peralatan Dan Mesin Dalam Proses;SSH;1
1.1.7.01.09.01.003;Jalan, Irigasi, Dan Jaringan Dalam Proses;SSH;1
1.1.7.01.09.01.004;Aset Tetap Lainnya Dalam Proses;SSH;1
1.1.7.01.09.01.005;Aset Lain-Lain Dalam Proses;SSH;1
1.1.7.01.09.01.006;Barang Persediaan Dalam Proses;SSH;1
1.1.7.01.09.02.001;Persediaan Dalam Proses Lainnya;SSH;1
1.1.7.02.01.01.001;Komponen Jembatan Bailley;SSH;1
1.1.7.02.01.01.002;Komponen Jembatan Baja Prefab;SSH;1
1.1.7.02.01.01.003;Komponen Jembatan Baja Lainnya;SSH;1
1.1.7.02.01.02.001;Komponen Jembatan Pratekan Prefab;SSH;1
1.1.7.02.01.02.002;Komponen Jembatan Pratekan Lainnya;SSH;1
1.1.7.02.01.03.001;Dinamo Amper;SSH;1
1.1.7.02.01.03.002;Dinamo Start;SSH;1
1.1.7.02.01.03.003;Transmisi;SSH;1
1.1.7.02.01.03.004;Injection Pump;SSH;1
1.1.7.02.01.03.005;Karburator Unit;SSH;1
1.1.7.02.01.03.006;Motor Hidrolik;SSH;1
1.1.7.02.01.03.007;Engine Bensin;SSH;1
1.1.7.02.01.03.008;Engine Diesel;SSH;1
1.1.7.02.01.03.009;Komponen Peralatan Lainnya;SSH;1
1.1.7.02.01.04.001;Komponen Rambu-Rambu Darat;SSH;1
1.1.7.02.01.04.002;Komponen Rambu-Rambu Udara;SSH;1
1.1.7.02.01.04.003;Komponen Rambu-Rambu Lainnya;SSH;1
1.1.7.02.01.05.001;Blade;SSH;1
1.1.7.02.01.05.002;Boom;SSH;1
1.1.7.02.01.05.003;Bucket;SSH;1
1.1.7.02.01.05.004;Scarifier;SSH;1
1.1.7.02.01.05.005;Attachment Lainnya;SSH;1
1.1.7.02.01.06.001;Komponen Lainnya;SSH;1
1.1.7.02.02.01.001;Dci Filter;SSH;1
1.1.7.02.02.01.002;Pipa Air Besi Tuang;SSH;1
1.1.7.02.02.01.003;Pipa Air Besi Tuang (Dci) Lainnya;SSH;1
1.1.7.02.02.02.001;A C P 1,0;SSH;1
1.1.7.02.02.02.002;A C P 1,5;SSH;1
1.1.7.02.02.02.003;A C P 2,0;SSH;1
1.1.7.02.02.02.004;A C P 2,5;SSH;1
1.1.7.02.02.02.005;A C P 3,0;SSH;1
1.1.7.02.02.02.006;Pipa Asbes Semen (Acp) Lainnya;SSH;1
1.1.7.02.02.03.001;Pipa Baja Gelombang;SSH;1
1.1.7.02.02.03.002;Pipa Baja Konstruksi (Csp);SSH;1
1.1.7.02.02.03.003;Pipa Baja Lapis Polyethelene;SSH;1
1.1.7.02.02.03.004;Pipa Baja Lapis Seng (Gip);SSH;1
1.1.7.02.02.03.005;Pipa Baja Lainnya;SSH;1
1.1.7.02.02.04.001;Fitter Pipa Beton Pratekan;SSH;1
1.1.7.02.02.04.002;Pipa Beton Pratekan;SSH;1
1.1.7.02.02.04.003;Pipa Beton Pratekan Lainnya;SSH;1
1.1.7.02.02.05.001;Filter Pipa Fiber Glass;SSH;1
1.1.7.02.02.05.002;Pipa Fiber Glass;SSH;1
